wall_time,environment_ticks,decision_steps,training_step,ticks_per_second,episodes_completed,training_reward,official_reward,survival_time,population_mean,population_max,birth_count,death_count,mean_energy,median_energy,curriculum_stage,horizon,actor_loss,critic_loss,entropy,kl_estimate,clip_fraction,explained_variance,optimizer_minibatches,mode_entropy,spawn_probability,spawn_action_frequency,mode_explore_fraction,mode_explore_team_fraction,mode_forage_fraction,mode_forage_team_fraction,mode_camp_fraction,mode_camp_team_fraction,mode_evade_fraction,mode_evade_team_fraction,mode_regroup_fraction,mode_regroup_team_fraction,mode_conserve_fraction,mode_conserve_team_fraction,movement_intensity_mean,movement_intensity_std,movement_intensity_min,movement_intensity_max,steering_residual_mean,steering_residual_std,steering_residual_min,steering_residual_max
14338.577999999998,1377820,275712,359,128.36888918613624,426,0.4790192638835909,0.49204009721692427,521.4500000000501,14.833333333333334,76,84625,85763,50.210899353027344,49.8070182800293,3,3000.0,0.0026797697430959453,163.27816235577617,2.5731232077987105,0.01050642850345982,0.12198024663936209,0.8843427054342297,27,1.4092164543383792,0.5460109571785007,0.5514411926269531,0.0918029497341226,0.08982867519122327,0.18691682552422995,0.19788200510650347,0.12641717668305408,0.1369875378381026,0.14216915822213305,0.13543461143804525,0.14046352964783787,0.14178138084060515,0.31223036018862244,0.29808578958552023,0.4921514391899109,0.27457770705223083,0.00028772695804946125,0.9999220371246338,-0.014251953922212124,0.5375286936759949,-0.9996855854988098,0.9999436140060425
14366.922000000002,1381660,276480,360,135.5549279864381,426,0.514264529945059,0.514264529945059,,12.0,76,84831,85986,50.70695114135742,40.140625,3,3000.0,-0.007483028096248745,21.78767490386963,2.593790837128957,0.01697845586473894,0.21575131442708273,0.8639575157249584,60,1.4139284115773005,0.5474596349911998,0.550000011920929,0.11849710982658959,0.12257021210679454,0.17369009882528436,0.19370429570438635,0.09388402013798247,0.1016712556126409,0.13779600969606565,0.13589282297288247,0.1495431661383554,0.1451462629533604,0.3265895953757225,0.30101515064993534,0.4838733375072479,0.2778376042842865,0.00011770445416914299,0.9996597766876221,-0.024868875741958618,0.5518198013305664,-0.9996222853660583,0.9999746084213257
14394.249999999996,1385493,277248,361,140.33610368691654,429,0.47764331946029165,0.49717456946029165,419.2666666666935,7.5,76,84956,86153,47.01002502441406,48.21480941772461,3,3000.0,-0.007299954260122918,742.3482397170294,2.4659515562511625,0.011026821141341573,0.16452151526685893,0.3142177017862712,42,1.34012562908386,0.5477457812529769,0.5448864698410034,0.12339216272808855,0.13421620213872248,0.18830391863595572,0.22580389069539109,0.09811546515106193,0.10619019522027631,0.1274304516900987,0.11754902991508343,0.123691295243793,0.10802076681556473,0.3390667065510021,0.308219915214962,0.475102961063385,0.2771073877811432,1.2327586773608346e-05,0.9994761347770691,-0.022192679345607758,0.5410593748092651,-0.9998466968536377,0.9994055032730103
14415.827999999998,1389333,278016,362,178.09108617012996,430,0.5078484250472494,0.5143588417139161,44.000000000000355,14.333333333333334,76,85138,86299,57.29404067993164,54.934776306152344,3,3000.0,-0.005661233206323925,305.1066618419829,2.4597766399383545,0.014739991253341023,0.18295503209256345,0.10200822276939192,42,1.368054789741896,0.5384531705786051,0.5278869867324829,0.11987515959710597,0.12043102952962378,0.2011632855724216,0.23624744935599323,0.08511845651865513,0.09011400994388975,0.14626188111788907,0.140632625162081,0.15491559086395235,0.1445145642268523,0.2926656263299759,0.2680603217815599,0.4708881378173828,0.27041202783584595,0.0003389112825971097,0.9998617172241211,-0.0362556092441082,0.53440260887146,-0.9997001886367798,0.9996693134307861
14447.749999999996,1393172,278784,363,120.32219645209533,431,0.5049086905624898,0.5114191072291564,94.39999999999891,11.5,76,85375,86558,43.35295104980469,35.19244384765625,3,3000.0,-0.009094370135712918,326.94656811338484,2.532798752640233,0.007520065410811842,0.0980510373536328,0.12429546679279235,66,1.4167645346728175,0.5122624184025534,0.5125481486320496,0.1383780801765355,0.13846203240965146,0.16761677087164398,0.2206914435373998,0.07502758367046708,0.07414565844644151,0.15088267745494668,0.14491337622850392,0.17506436189775654,0.15423647228081844,0.29303052592865025,0.2675510170971849,0.47927409410476685,0.2778242230415344,7.018876203801483e-05,0.9999746084213257,-0.017158949747681618,0.5520817637443542,-0.9997828602790833,0.9999245405197144
14472.499999999996,1397009,279552,364,155.13058947200233,432,0.5090910427156204,0.5156014593822871,404.2000000000234,14.0,76,85590,86763,50.22078323364258,51.508358001708984,3,3000.0,-0.006905454210937023,70.66430576642354,2.551910529534022,0.004636023947980798,0.03530641734444847,0.4801252941004257,24,1.4074746433692642,0.5210466016921322,0.5203539729118347,0.129228998849252,0.1301952052302983,0.19758342922899885,0.2229478902539499,0.08319907940161105,0.08816147599384694,0.12543153049482164,0.1252863451219372,0.19309551208285386,0.17907074178829258,0.2714614499424626,0.25433834161167507,0.4822026789188385,0.27525150775909424,6.538067827932537e-05,0.9999234676361084,-0.045171260833740234,0.5415863990783691,-0.9999717473983765,0.9996826648712158
14512.530999999999,1400844,280320,365,95.83906035236926,436,0.48862435953585304,0.5146660262025197,203.12500000000898,11.666666666666666,76,85817,87024,53.1866569519043,47.86707305908203,3,3000.0,-0.008477772609472306,1086.317230686997,2.5690287243236196,0.008383982782632802,0.09403649470627759,0.23321155097570945,66,1.4159639042240395,0.5027311018550807,0.49912208318710327,0.13450398262128893,0.14010511372006412,0.14871469949312094,0.19370734273810022,0.0832729905865315,0.09904154087069678,0.12101737871107893,0.12006633255624204,0.20999275887038377,0.17698744599792018,0.30249818971759596,0.27009222411697664,0.49741309881210327,0.2822934091091156,0.00024044934252742678,0.999933123588562,-0.03772558644413948,0.5562734007835388,-0.9998943209648132,0.9998359680175781
14542.891,1404673,281088,366,126.18639599262912,439,0.49660993027053163,0.5161411802705317,223.13333333333526,11.333333333333334,76,86003,87227,56.130767822265625,54.96001434326172,3,3000.0,-0.0007072457897097424,883.2284574155454,2.580964931735286,0.00315999298427411,0.03058856909370257,0.19952284301352163,54,1.418841505492434,0.5116025300180865,0.510490357875824,0.1428403893514718,0.1456221805253924,0.17415269145068604,0.201354487225622,0.09335053359915563,0.10400198074318076,0.12607013017473906,0.12195338928582893,0.1802509675149525,0.1598236752611005,0.283335287908995,0.2672442869588754,0.49187415838241577,0.2756596505641937,0.0001447103131795302,0.9999915957450867,-0.06135617196559906,0.5546340346336365,-0.9996264576911926,0.9996150732040405
14571.234,1408513,281856,367,135.5549279864381,439,0.5341792618743973,0.5341792618743973,,20.666666666666668,76,86310,87478,46.96281051635742,41.58857345581055,3,3000.0,-0.01705975319297674,25.941347228156197,2.5545707841714225,0.010938741157800254,0.15773925076549253,0.4527472160946038,72,1.4141984319233056,0.48527279884242697,0.4878377318382263,0.1289793239251723,0.13089416029763656,0.17755169018706926,0.20438306503119652,0.09131933048900558,0.09786523245689434,0.1361995405316705,0.13092918322321245,0.20233016081391533,0.1849179961298672,0.26361995405316707,0.2510103628611929,0.48722296953201294,0.27420511841773987,3.341314732097089e-05,0.9998756647109985,-0.05630987882614136,0.5490688681602478,-0.9999656677246094,0.9999117851257324
14605.672000000002,1412353,282624,368,111.55656266339369,439,0.5184948421949586,0.5184948421949586,,14.0,76,86584,87792,49.57243347167969,49.26926040649414,3,3000.0,-0.013729015842844278,23.316365021925705,2.6353776302093115,0.011017393616469855,0.1486486649642197,0.7129871583243661,78,1.4374240377924472,0.4728591629451427,0.471003919839859,0.13443165575866997,0.13836457768200588,0.14661852102610395,0.16397286403618141,0.08485669149176259,0.09027075569726206,0.13887008199804407,0.13406170996075725,0.20928308132099602,0.19132836348886387,0.2859399684044234,0.28200172913492955,0.4886099398136139,0.2794835567474365,5.3590589232044294e-05,0.9999598860740662,-0.039874304085969925,0.5575804114341736,-0.9999552965164185,0.9995580911636353
14636.952999999998,1416191,283392,369,122.75315038701763,440,0.5160908186287972,0.5226012352954639,372.80000000001627,13.333333333333334,76,86825,88042,46.927947998046875,44.172340393066406,3,3000.0,-0.011543023936224707,228.2851992520419,2.577856233625701,0.01210371888298208,0.17942134869129708,0.505928406496229,66,1.4452644764186784,0.5013623541754645,0.4956265389919281,0.15802611367127495,0.16872508992864055,0.15610599078341014,0.18143855932647843,0.08362135176651306,0.08849375509055037,0.14564132104454686,0.1368565095074708,0.18548387096774194,0.16818928134456612,0.27112135176651303,0.2562968048022937,0.4876478314399719,0.2767966687679291,3.51812741428148e-05,0.9998795390129089,-0.047266606241464615,0.555223822593689,-0.9999411702156067,0.9995946884155273
14665.984,1420031,284160,370,132.34533861795887,440,0.5097835412914273,0.5097835412914273,,13.5,76,87051,88267,60.711727142333984,58.35334777832031,3,3000.0,-0.004725285366779038,22.29619093294497,2.4703051337489375,0.006723321706045158,0.07501762673362261,0.7940787913963333,54,1.425057320565501,0.4823100867584435,0.47989460825920105,0.14505862646566164,0.14296423750743747,0.19151312116136238,0.2249665349439967,0.09860413176996091,0.1085441237804657,0.13590173087660526,0.1299536831011955,0.17185929648241205,0.15094433657271428,0.2570630932439978,0.24262708409419034,0.478090763092041,0.2745285928249359,0.00019277157844044268,0.9996814131736755,-0.05205851420760155,0.5436105728149414,-0.9998785853385925,0.9981415271759033
14712.077999999998,1423863,284928,371,83.16333174182665,443,0.500011751433617,0.519543001433617,276.5666666666812,15.333333333333334,76,87300,88520,45.9877815246582,46.837562561035156,3,3000.0,0.0005497168717233257,759.4119110107422,2.5856092837121754,0.0030358702078309217,0.023391323613597907,0.34761222239524014,72,1.426286479446415,0.47396461744815255,0.47291234135627747,0.13470146102525124,0.1346170762052604,0.1629085381302255,0.1982488987937884,0.08470568364158433,0.11056515104595184,0.12971877375221688,0.12188564171306329,0.1753230301494806,0.14766465194297623,0.31264251330124143,0.2870185802989599,0.48567304015159607,0.2787753641605377,0.00014928283053450286,0.9998971223831177,-0.034730907529592514,0.5497128367424011,-0.999902069568634,0.999697208404541
14743.499999999996,1427693,285696,372,121.95121951221297,446,0.4840118225643453,0.5035430725643453,157.83333333334178,9.166666666666666,76,87458,88730,49.50678253173828,49.09689712524414,3,3000.0,-0.010817422617778735,689.5800536826805,2.5460824833975897,0.0018680106603191765,0.013051261185426955,0.2676652013301858,54,1.4205987658402595,0.4792187865338267,0.46843573451042175,0.1433836642491975,0.14812138380684514,0.17084769944120795,0.20956441822431338,0.09570800142670313,0.11139756120688254,0.13422898585186066,0.11924293056699216,0.16656759006063487,0.14314867371191145,0.2892640589703959,0.2685250324830553,0.48598477244377136,0.27880457043647766,1.6941282865445828e-06,0.9990699887275696,-0.05597822740674019,0.5540574193000793,-0.9994359612464905,0.9996458292007446
14762.359,1431533,286464,373,203.78920554051084,446,0.5046023440479992,0.5046023440479992,,10.833333333333334,76,87657,88919,46.02983856201172,48.06016540527344,3,3000.0,-0.0024807530207908712,21.850755016009014,2.4885832021633782,0.0005690277406344874,0.0007552351241126113,0.9633043277989027,48,1.4040661357409467,0.47237951114332793,0.48220571875572205,0.14040660736975857,0.14015314076799448,0.20533672172808132,0.22892882004871126,0.10381194409148665,0.10075008433645585,0.12109275730622618,0.12023328448087398,0.14891994917407878,0.14262401492879054,0.2804320203303685,0.26731065543717386,0.4836370348930359,0.27348873019218445,0.00026037520729005337,0.9998197555541992,-0.06527413427829742,0.5377576947212219,-0.9994490146636963,0.9999157190322876
14790.999999999996,1435368,287232,374,133.97379912663754,448,0.4992838243772193,0.5123046577105527,422.7500000000276,8.5,76,87854,89140,59.836578369140625,59.34553909301758,3,3000.0,0.007656453007318002,387.4136763572693,2.5993902842203775,0.0056609013393505055,0.07908517371979543,0.6350401535486739,60,1.4452043887824821,0.480165376848131,0.48753461241722107,0.12123183691173281,0.12123718394416584,0.16406419431793537,0.1934111031791085,0.09672522229451312,0.10506658524110056,0.1595098677076556,0.15600338386278143,0.17664281067013662,0.1600645342344707,0.28182606809802646,0.26421720953837297,0.48880401253700256,0.2771924138069153,0.00014326904783956707,0.9999075531959534,-0.04770021140575409,0.5520581603050232,-0.9999974966049194,0.9997365474700928
14819.797000000002,1439205,288000,375,133.31711893261675,450,0.5090169104328682,0.5220377437662016,28.85000000000014,11.333333333333334,76,88060,89339,52.59026336669922,46.724761962890625,3,3000.0,-0.002041006584962209,624.9740971883137,2.6260876417160035,0.0032763004555923852,0.039810733972505355,0.37755151590162916,60,1.43574103289903,0.45002667280366876,0.4587472677230835,0.1419797318046883,0.14053210854393594,0.15743678984542941,0.17704420940613363,0.10512846760159689,0.11693920583679927,0.1018527996724332,0.10343792324068335,0.17401985873682055,0.15680917902532138,0.31958235233903165,0.3052373739471264,0.4897750914096832,0.2794295847415924,0.00034362523001618683,0.9999217987060547,-0.04707909747958183,0.5489568114280701,-0.9997113943099976,0.9994808435440063
14844.405999999999,1443042,288768,376,156.01366186876547,451,0.504305381586119,0.5108157982527857,323.7000000000051,10.666666666666666,76,88250,89538,47.97696304321289,45.52594757080078,3,3000.0,-0.0043273737774816926,272.5430251227485,2.589503283853884,0.00035523667456059004,0.00031764613716707874,0.7729488306164493,54,1.442789453125,0.45309247881452613,0.4526869058609009,0.1392,0.13363578182112193,0.19965714285714287,0.21588861648914637,0.1216,0.1263106643864514,0.11142857142857143,0.10489333313344881,0.16434285714285715,0.15808181623201606,0.26377142857142855,0.26118978793781544,0.49172231554985046,0.2768906056880951,2.1562761958193732e-06,0.9997957944869995,-0.07380492240190506,0.5447118878364563,-0.999778151512146,0.9997849464416504
14867.922000000002,1446879,289536,377,163.16550433744973,452,0.5062726855916814,0.512783102258348,304.20000000000067,8.333333333333334,76,88405,89712,51.499088287353516,41.494354248046875,3,3000.0,-0.002574740577040723,330.9457058376736,2.569266668072453,0.004147184958950434,0.04932842103557454,0.7759452625034172,54,1.4490758261881453,0.4610039636236304,0.4673757255077362,0.13539833391998124,0.1386362374531591,0.19429778247096094,0.22575092469769498,0.11134577026868474,0.12552223513142466,0.11556963510500998,0.11088438965533898,0.1718878329226798,0.15366482947562665,0.2715006453126833,0.24554138358675565,0.4917246997356415,0.27636051177978516,6.689988367725164e-06,0.9999145269393921,-0.07171132415533066,0.547738790512085,-0.9999744892120361,0.9997295141220093
