training_step,curriculum_stage,horizon,mode_entropy,spawn_probability,spawn_action_frequency,mode_explore_fraction,mode_explore_team_fraction,mode_forage_fraction,mode_forage_team_fraction,mode_camp_fraction,mode_camp_team_fraction,mode_evade_fraction,mode_evade_team_fraction,mode_regroup_fraction,mode_regroup_team_fraction,mode_conserve_fraction,mode_conserve_team_fraction,movement_intensity_mean,movement_intensity_std,movement_intensity_min,movement_intensity_max,steering_residual_mean,steering_residual_std,steering_residual_min,steering_residual_max
1,0,300.0,1.791753896790562,0.4993860050204386,0.5060991644859314,0.17078766250318633,0.1707723629348771,0.16365026765230692,0.15832248267142826,0.15957175630894724,0.1664429355563777,0.17180729033902625,0.17813016681202803,0.162375732857507,0.16237805887967124,0.17180729033902625,0.16395399314561765,0.4972064793109894,0.2356700450181961,0.0020876722410321236,0.9984174966812134,0.007829639129340649,0.4786345362663269,-0.9959161877632141,0.9991799592971802
2,0,300.0,1.781719594415328,0.4969977894677664,0.4953371584415436,0.1752002786485545,0.17896925808268338,0.19087425983977707,0.19120626274188018,0.15168930686172066,0.1533457755884711,0.1388018112156043,0.12849834895968437,0.14576802507836992,0.14796055497298555,0.19766631835597354,0.20001979965429542,0.4991782605648041,0.23890511691570282,0.004035456571727991,0.9927393794059753,0.014038536697626114,0.48406311869621277,-0.993767499923706,0.9926177263259888
3,0,300.0,1.7812112433047216,0.5047594440997499,0.5046871304512024,0.18410808335241585,0.18553136046616134,0.1789558049003893,0.1821207808539491,0.15972063201282344,0.1627923023214801,0.1396839935882757,0.13419913274360673,0.1474696588046714,0.1451729469685068,0.19006182734142432,0.19018347664629598,0.5052298903465271,0.23574340343475342,0.0035932736936956644,0.9944157004356384,0.02086990512907505,0.47711312770843506,-0.9903109669685364,0.9935450553894043
4,0,300.0,1.7726554825476382,0.4865799516897618,0.4886854290962219,0.19384823390231537,0.20156479596106766,0.18235592360993746,0.17385442519019412,0.14331586952847727,0.13723066354439534,0.1284434679736353,0.1370016558156658,0.1531181341896231,0.15296211908220625,0.1989183707960115,0.19738634040647085,0.5038384795188904,0.2409193515777588,0.008324231952428818,0.9952753186225891,0.034558914601802826,0.4826757609844208,-0.9898626208305359,0.9956821203231812
5,0,300.0,1.7620999315227817,0.49170089122614274,0.4870695471763611,0.16749737670514167,0.17011834297094935,0.19530430220356768,0.19353880427770864,0.15516789087093388,0.15631000594976943,0.12093389296956977,0.11774452797827943,0.14821615949632738,0.1563890814050766,0.2128803777544596,0.20589923741821653,0.5065372586250305,0.2378036081790924,0.0014070116449147463,0.998711884021759,0.008580487221479416,0.4704311192035675,-0.9948534369468689,0.9943671226501465
6,0,300.0,1.7574935694657465,0.4886695332794062,0.48927876353263855,0.17750511247443762,0.1763402210990816,0.2124062713019768,0.2081428134308004,0.1368779822767553,0.13722219913872427,0.11206543967280164,0.12009088524023576,0.1634628493524199,0.16209563608549163,0.19768234492160872,0.19610824500566634,0.508574903011322,0.23765689134597778,0.0021966304630041122,0.9991855621337891,0.0024008231703191996,0.4710600972175598,-0.9967173933982849,0.9979915618896484
7,0,300.0,1.7502664230367497,0.4729481863805059,0.472311794757843,0.1839017735334243,0.18486848962295577,0.19631650750341065,0.19218508259586217,0.14693042291950886,0.14153660029507717,0.10641200545702592,0.1070238188161121,0.1601637107776262,0.1573084859359202,0.2062755798090041,0.2170775227340726,0.5055692791938782,0.23638403415679932,0.004258180968463421,0.9985114336013794,0.01957005076110363,0.47208672761917114,-0.9890221953392029,0.9962557554244995
8,0,300.0,1.7465222636145508,0.4796064426091454,0.4770872890949249,0.17838064942080306,0.17949515413794867,0.20304903667246865,0.20335013854688927,0.13342536462397214,0.134784997794613,0.11757997719224536,0.11732698538228861,0.15395234379689093,0.1525854305711817,0.21361262829361982,0.21245729356707874,0.5061608552932739,0.23688863217830658,0.0005452436744235456,0.9997183084487915,0.027574893087148666,0.4734053313732147,-0.9935349822044373,0.992511510848999
9,0,300.0,1.7458908967650995,0.47869951720049375,0.4747401177883148,0.17726809378185526,0.16991244788152451,0.18817533129459735,0.1815036801258739,0.12813455657492354,0.13629602671845376,0.12466870540265036,0.12374336683849493,0.1600407747196738,0.16508087006064445,0.2217125382262997,0.22346360837500845,0.5073783993721008,0.23875616490840912,0.00443267123773694,0.9977132678031921,0.017938774079084396,0.47422951459884644,-0.9978913068771362,0.9956450462341309
10,0,300.0,1.7433061317507839,0.46457225992483514,0.4666343629360199,0.19939863902516222,0.1963220525610829,0.21221712296249406,0.21149642979022645,0.1269188162683969,0.13161326558167766,0.11774014875771482,0.11242579898858869,0.14321886374426332,0.14410840074861506,0.20050640924196866,0.20403405232980926,0.5064107775688171,0.23774930834770203,0.002949475310742855,0.9998234510421753,0.010476695373654366,0.4683549106121063,-0.9962685108184814,0.9928057193756104
